Story ID,Epic,Module,User Story,User Type,Priority,Sprint,Phase,Effort (S/M/L/XL),Dependencies,Acceptance Criteria
INT-09,Integration Journey,M6,Tier 4B — Regulatory (New Frontier): flagged for SIA government relations escalation,All,P2 - Nice to Have,—,Phase 2,L,INT-04,Escalation request logged + tracked in admin panel
INT-10,Integration Journey,M6,Tier 5 — Diplomatic: SIA admin approval / formal bilateral program entry,Government Entity,P2 - Nice to Have,—,Phase 2,L,INT-08,Admin approval gate. Gov entity portal entry created
ADMIN-01,Admin Panel,Platform,As an admin I see a partner verification queue to approve/reject badges,SIA Admin,P0 - Critical,1,MVP,M,REG-03,Queue of unverified partners. View docs. Approve/reject with reason
ADMIN-02,Admin Panel,Platform,As an admin I can manually create a match between two partners,SIA Admin,P0 - Critical,2,MVP,M,REG-01,Search + select two partners → create match → both notified
ADMIN-03,Admin Panel,Platform,As an admin I see all active relationships with health and tier status,SIA Admin,P0 - Critical,2,MVP,M,REL-01,Table view: all relationships. Filter by status / tier / sector
ADMIN-04,Admin Panel,Platform,As an admin I see a simplified analytics dashboard,SIA Admin,P1 - Important,2,MVP,L,"REG-01,MATCH-01,REL-01",Counts: active partners / matches / relationships / journeys / models
ADMIN-05,Admin Panel,Platform,As an admin I can send platform-wide or targeted announcements,SIA Admin,P1 - Important,1,MVP,M,,Compose announcement. Select audience (all / by type / specific partners)
ADMIN-06,Admin Panel,Platform,As an admin I see an integration escalation queue for Tier 4B and 5,SIA Admin,P2 - Nice to Have,—,Phase 2,M,INT-09,Queue of escalated partnerships requiring gov relations support
NOTIF-01,Notifications,Platform,As a user I see in-app toast notifications for key events,All,P0 - Critical,1,MVP,S,,Toast via sonner on: signature request / stage change / match / invitation
NOTIF-02,Notifications,Platform,As a user I receive email notifications for signature requests and stage changes,All,P1 - Important,2,MVP,M,NOTIF-01,Email sent via backend. Unsubscribe option
NOTIF-03,Notifications,Platform,As a user I can configure my notification preferences,All,P2 - Nice to Have,—,Phase 2,M,NOTIF-01,Per-event toggle: in-app / email / off
I18N-01,Localization,Platform,As a user I can switch between English and Arabic (RTL),All,P0 - Critical,1,MVP,S,,Language toggle. All UI / forms / labels switch. RTL layout applied
I18N-02,Localization,Platform,As a user I can use the platform in Bahasa Malaysia,All,P2 - Nice to Have,—,Phase 2,M,I18N-01,Third language option. All strings translated
AUDIT-01,Audit Trail,Platform,All state changes / signatures / uploads are logged immutably via Mujarrad versioning,All,P0 - Critical,1,MVP,S,,Automatic via Mujarrad node versioning. No user action needed
AUDIT-02,Audit Trail,Platform,As an admin I can export an audit report for compliance,SIA Admin,P2 - Nice to Have,—,Phase 2,M,AUDIT-01,Export PDF/CSV of all actions for a partner / relationship / journey
NFR-01,Non-Functional,Platform,Page load under 2 seconds on all core pages,All,P0 - Critical,1,MVP,M,,Lighthouse performance score > 90
NFR-02,Non-Functional,Platform,Mobile-responsive across all core modules,All,P0 - Critical,1,MVP,M,,All pages usable on 375px viewport
NFR-03,Non-Functional,Platform,E2E encryption for all documents,All,P1 - Important,1,MVP,L,,Documents encrypted at rest and in transit
NFR-04,Non-Functional,Platform,PDPA (Malaysia) and PDPL (Saudi Arabia) compliant data handling,All,P0 - Critical,1,MVP,L,,Data residency. Consent management. Deletion rights
NFR-05,Non-Functional,Platform,99.5% uptime with incident response under 4 hours,All,P1 - Important,1,MVP,M,,Monitoring + alerting configured
NFR-06,Non-Functional,Platform,Architecture supports 500 concurrent partners scalable to 5000,All,P1 - Important,1,MVP,M,,Load tested. No hard bottlenecks
